time,open,high,low,close,volume,count
1697105700,25205.7,25208.7,25166.1,25176.9,8.22665134,266
1697106600,25176.2,25210.1,25175.0,25204.4,7.14433493,213
1697107500,25198.1,25218.0,25192.3,25201.0,3.9104468,175
1697108400,25201.1,25226.2,25194.0,25195.7,10.10309013,249
1697109300,25195.8,25202.9,25171.0,25179.6,13.97253247,208
1697110200,25178.7,25223.0,25178.7,25222.4,5.77266808,193
1697111100,25221.8,25297.1,25208.3,25270.0,7.29575175,276
1697112000,25270.9,25289.7,25230.8,25245.9,9.10477816,200
1697112900,25245.7,25261.0,25234.8,25249.6,8.88477731,276
1697113800,25247.8,25364.6,25235.4,25362.8,30.39900151,533
1697114700,25363.9,25365.5,25319.1,25347.4,7.99239065,284
1697115600,25347.4,25383.3,25343.0,25373.1,7.33560891,327
1697116500,25372.9,25380.8,25291.7,25302.9,21.05736219,280
1697117400,25302.9,25328.7,25283.2,25304.3,9.30361592,228
1697118300,25297.7,25355.0,25279.9,25355.0,9.67449593,264
1697119200,25355.0,25355.0,25312.5,25323.1,20.4410775,274
1697120100,25323.1,25323.1,25280.1,25283.1,10.86298511,279
1697121000,25289.2,25319.0,25239.0,25276.3,6.97572663,264
1697121900,25276.3,25298.1,25262.1,25289.4,5.46549895,210
1697122800,25289.4,25311.2,25269.2,25303.5,14.694704,227
1697123700,25303.5,25313.3,25264.7,25266.5,5.99618289,228
1697124600,25266.5,25292.3,25257.8,25257.9,6.0054751,272
1697125500,25257.9,25300.0,25239.0,25269.6,11.58932104,267
1697126400,25273.4,25293.5,25254.1,25284.0,14.71850052,270
1697127300,25284.9,25323.0,25178.1,25323.0,12.61833043,386
1697128200,25311.8,25380.6,25284.3,25321.6,4.71169295,280
1697129100,25321.6,25327.2,25274.2,25279.5,20.75525422,216
1697130000,25279.5,25294.3,25208.8,25239.8,110.59404132,319
1697130900,25239.7,25261.7,25200.1,25223.4,5.58233492,194
1697131800,25223.4,25264.1,25179.4,25253.2,36.52102715,289
1697132700,25249.1,25267.4,25247.1,25264.1,18.39669376,196
1697133600,25264.2,25270.2,25235.9,25259.9,33.04253318,234
1697134500,25260.0,25326.1,25244.7,25320.7,6.50759324,200
1697135400,25323.4,25344.3,25320.8,25342.4,4.26889936,168
1697136300,25342.4,25342.4,25293.6,25299.8,18.08958888,184
1697137200,25299.8,25321.5,25269.4,25321.4,4.88529613,140
1697138100,25321.5,25331.8,25296.1,25316.5,3.866999,150
1697139000,25316.4,25360.8,25316.4,25356.5,4.14464828,185
1697139900,25357.6,25376.2,25350.5,25350.8,3.15969489,138
1697140800,25350.4,25385.9,25345.3,25379.7,3.72245025,154
1697141700,25385.5,25390.0,25370.0,25372.0,4.33279914,153
1697142600,25372.0,25386.7,25371.9,25377.9,2.79120989,179
1697143500,25379.9,25386.7,25374.4,25384.6,7.7036655,158
1697144400,25386.6,25396.5,25362.6,25370.2,4.2620577,136
1697145300,25370.2,25377.9,25366.1,25373.1,1.36438787,128
1697146200,25373.4,25402.7,25359.9,25368.3,1.50095928,137
1697147100,25368.3,25396.6,25368.1,25396.6,13.3633403,123
1697148000,25396.6,25406.7,25382.3,25400.9,3.2217994,106
1697148900,25402.7,25402.7,25373.2,25396.0,3.40822417,97
1697149800,25394.0,25394.0,25369.4,25373.0,1.3899068,82
1697150700,25372.9,25394.2,25372.7,25393.6,4.62853657,89
1697151600,25393.5,25395.7,25360.0,25360.0,0.57208215,63
1697152500,25360.1,25371.4,25351.2,25369.6,0.44222618,61
1697153400,25370.1,25395.8,25369.3,25377.9,2.33533889,63
1697154300,25379.4,25392.0,25368.8,25388.5,0.9291428,37
1697155200,25386.1,25419.9,25380.1,25419.9,1.03205907,97
1697156100,25420.0,25458.7,25420.0,25458.0,0.54664134,82
1697157000,25458.0,25467.9,25438.0,25459.1,2.88610896,49
1697157900,25457.1,25458.3,25430.5,25446.5,0.53120425,37
1697158800,25450.0,25491.0,25434.5,25451.3,8.84385053,71
1697159700,25451.2,25451.2,25419.5,25421.7,0.88046217,41
1697160600,25423.0,25447.6,25419.5,25434.1,0.28156453,33
1697161500,25438.5,25438.5,25408.9,25408.9,1.16421648,36
1697162400,25408.9,25412.7,25407.4,25411.8,0.7542833,52
1697163300,25411.9,25420.9,25407.4,25420.4,0.13268476,48
1697164200,25420.3,25420.3,25410.8,25417.4,0.18579309,40
1697165100,25412.6,25414.3,25404.5,25412.2,0.72340894,47
1697166000,25412.2,25429.3,25412.1,25429.3,0.40667784,60
1697166900,25433.2,25433.2,25406.1,25406.1,0.27296535,47
1697167800,25406.3,25409.0,25389.8,25396.4,0.34092944,64
1697168700,25396.4,25396.4,25380.9,25387.4,0.29999682,50
1697169600,25387.4,25402.2,25383.9,25401.4,2.91057601,80
1697170500,25401.4,25401.4,25397.5,25401.3,0.46859324,48
1697171400,25401.2,25401.3,25393.5,25395.2,0.46605513,44
1697172300,25395.2,25401.3,25388.7,25398.0,0.21602958,61
1697173200,25396.8,25401.4,25395.3,25401.4,1.45165232,222
1697174100,25401.4,25411.6,25391.2,25394.3,2.03176504,150
1697175000,25394.3,25399.7,25391.0,25399.6,1.36061939,93
1697175900,25399.6,25428.9,25399.6,25415.5,3.07529426,118
1697176800,25415.6,25423.2,25406.4,25415.5,1.76736078,169
